scenario_id,ph,metal_level,pb_mg_L,cu_mg_L,zn_mg_L,chelator,dose_mg_L,texture,texture_sites,moisture,pe,pb_total_mol,pb_free_mol,pb_percent_free,pb_sorbed_mol,cu_total_mol,cu_free_mol,cu_percent_free,cu_sorbed_mol,zn_total_mol,zn_free_mol,zn_percent_free,zn_sorbed_mol
64,5.0,Medium,100,80,120,None,0,Sand,0.1,Dry,12,0.00048263,0.0004323,89.57172160868573,0.001614,0.0012589,0.001248,99.13416474700134,0.0093,0.0018354,0.001823,99.32439795140023,3.491e-05
65,5.0,Medium,100,80,120,EDTA,50,Sand,0.1,Dry,12,0.00048263,0.0004215,87.33398255392329,0.001653,0.0012589,0.001092,86.74239415362618,0.008543,0.0018354,0.001822,99.26991391522284,3.666e-05
66,5.0,Medium,100,80,120,EDTA,200,Sand,0.1,Dry,12,0.00048263,0.0003702,76.70472204380167,0.001716,0.0012589,0.000644,51.155770911112874,0.005955,0.0018354,0.001818,99.05197777051323,4.321e-05
67,5.0,Medium,100,80,120,Citrate,50,Sand,0.1,Dry,12,0.00048263,0.0003979,82.44410832314611,0.001597,0.0012589,0.001042,82.77067280959567,0.00834,0.0018354,0.001807,98.45265337256184,3.719e-05
68,5.0,Medium,100,80,120,Citrate,200,Sand,0.1,Dry,12,0.00048263,0.0002686,55.65339908418457,0.001372,0.0012589,0.000499,39.637779013424414,0.005085,0.0018354,0.001714,93.38563800806364,4.49e-05
69,5.0,Medium,100,80,120,DTPA,50,Sand,0.1,Dry,12,0.00048263,0.0004323,89.57172160868573,0.001672,0.0012589,0.001123,89.20486138692509,0.008666,0.0018354,0.001823,99.32439795140023,3.617e-05
70,5.0,Medium,100,80,120,DTPA,200,Sand,0.1,Dry,12,0.00048263,0.0004323,89.57172160868573,0.001883,0.0012589,0.0007471,59.345460322503776,0.006494,0.0018354,0.001822,99.26991391522284,4.07e-05
71,5.0,Medium,100,80,120,None,0,Sand,0.1,Mesic,8,0.00048263,0.0004323,89.57172160868573,0.001614,0.0012589,0.001248,99.13416474700134,0.0093,0.0018354,0.001823,99.32439795140023,3.491e-05
72,5.0,Medium,100,80,120,EDTA,50,Sand,0.1,Mesic,8,0.00048263,0.0004215,87.33398255392329,0.001653,0.0012589,0.001091,86.66295972674556,0.008543,0.0018354,0.001822,99.26991391522284,3.666e-05
73,5.0,Medium,100,80,120,EDTA,200,Sand,0.1,Mesic,8,0.00048263,0.0003702,76.70472204380167,0.001716,0.0012589,0.0006439,51.14782746842481,0.005955,0.0018354,0.001818,99.05197777051323,4.321e-05
74,5.0,Medium,100,80,120,Citrate,50,Sand,0.1,Mesic,8,0.00048263,0.0003979,82.44410832314611,0.001597,0.0012589,0.001042,82.77067280959567,0.008339,0.0018354,0.001807,98.45265337256184,3.719e-05
75,5.0,Medium,100,80,120,Citrate,200,Sand,0.1,Mesic,8,0.00048263,0.0002686,55.65339908418457,0.001372,0.0012589,0.0004989,39.62983557073636,0.005085,0.0018354,0.001714,93.38563800806364,4.49e-05
76,5.0,Medium,100,80,120,DTPA,50,Sand,0.1,Mesic,8,0.00048263,0.0004323,89.57172160868573,0.001672,0.0012589,0.001123,89.20486138692509,0.008666,0.0018354,0.001823,99.32439795140023,3.617e-05
77,5.0,Medium,100,80,120,DTPA,200,Sand,0.1,Mesic,8,0.00048263,0.0004323,89.57172160868573,0.001883,0.0012589,0.0007471,59.345460322503776,0.006493,0.0018354,0.001822,99.26991391522284,4.07e-05
78,5.0,Medium,100,80,120,None,0,Sand,0.1,Wet,3,0.00048263,0.0004402,91.20858628763236,0.002276,0.0012589,0.0003968,31.51958058622607,0.004094,0.0018354,0.001826,99.48785005993244,4.841e-05
79,5.0,Medium,100,80,120,EDTA,50,Sand,0.1,Wet,3,0.00048263,0.0004103,85.01336427491039,0.002183,0.0012589,0.0003464,27.516085471443326,0.003677,0.0018354,0.001823,99.32439795140023,4.974e-05
80,5.0,Medium,100,80,120,EDTA,200,Sand,0.1,Wet,3,0.00048263,0.0003038,62.94677081822514,0.001766,0.0012589,0.0002132,16.935419810946065,0.002473,0.0018354,0.001811,98.67058951727144,5.401e-05
81,5.0,Medium,100,80,120,Citrate,50,Sand,0.1,Wet,3,0.00048263,0.0003687,76.39392495286245,0.001995,0.0012589,0.0003406,27.055365795535778,0.003677,0.0018354,0.00179,97.52642475754604,4.967e-05
82,5.0,Medium,100,80,120,Citrate,200,Sand,0.1,Wet,3,0.00048263,0.0001974,40.900897167602515,0.001216,0.0012589,0.0001945,15.449996028278656,0.002392,0.0018354,0.001621,88.31862264356543,5.123e-05
83,5.0,Medium,100,80,120,DTPA,50,Sand,0.1,Wet,3,0.00048263,0.0004393,91.0221080330688,0.002308,0.0012589,0.0003517,27.937087933910554,0.003687,0.0018354,0.001825,99.43336602375504,4.916e-05
