scenario_id,ph,metal_level,pb_mg_L,cu_mg_L,zn_mg_L,cd_mg_L,doc_mg_L,ca_mg_L,mg_mg_L,na_mg_L,cl_mg_L,chelator,dose_mg_L,texture,hfo_sites,moisture,pe,ca_mg_level,ionic_level,pb_percent_free,cu_percent_free,zn_percent_free,cd_percent_free,pb_sorbed_mol,cu_sorbed_mol,zn_sorbed_mol,cd_sorbed_mol
baseline_00049,5.5,Low,25,20,30,2,40,20,10,100,150,None,0,Clay,1.5,Wet,3,Low,Low,74.26046193985565,23.715369809164986,98.37511079186298,78.96874130571018,0.05861,0.09742,0.001514,5.799e-06
baseline_00050,5.5,Low,25,20,30,2,40,100,50,100,150,None,0,Clay,1.5,Wet,3,High,Low,76.10868549036768,26.37159290140265,98.54945746584058,80.7673176201463,0.05412,0.09761,0.001367,5.345e-06
baseline_00051,5.5,Low,25,20,30,2,40,20,10,500,700,None,0,Clay,1.5,Wet,3,Low,Medium,61.662705003630144,3.3679383705405797,96.65343738633413,47.549861312904504,0.05563,0.01582,0.001701,3.991e-06
baseline_00052,5.5,Low,25,20,30,2,40,100,50,500,700,None,0,Clay,1.5,Wet,3,High,Medium,62.955632689190125,3.641186200603306,96.87137072880616,49.022445670349065,0.05356,0.01612,0.001607,3.88e-06
baseline_00053,5.5,Low,25,20,30,2,40,20,10,2000,3000,None,0,Clay,1.5,Wet,3,Low,High,36.682679078772445,0.3278973960752715,91.61917717523082,19.390900890014244,0.02728,0.00127,0.001329,1.342e-06
baseline_00054,5.5,Low,25,20,30,2,40,100,50,2000,3000,None,0,Clay,1.5,Wet,3,High,High,37.08879098000603,0.33679383705405797,91.79352384920843,19.666307888162272,0.02699,0.001276,0.001303,1.332e-06
baseline_00055,5.5,Medium,100,80,120,8,10,20,10,100,150,None,0,Sand,0.1,Dry,12,Low,Low,86.56815688354635,97.6225067140296,99.1596492145684,79.55888797976488,0.003948,0.02317,8.821e-05,3.376e-07
baseline_00056,5.5,Medium,100,80,120,8,10,100,50,100,150,None,0,Sand,0.1,Dry,12,High,Low,87.45911685147179,97.78137165579369,99.26861586205695,80.89376865056632,0.003887,0.02262,8.602e-05,3.345e-07
baseline_00057,5.5,Medium,100,80,120,8,10,20,10,500,700,None,0,Sand,0.1,Dry,12,Low,Medium,68.85255752130793,96.82818200520919,97.36169953100755,48.25242340560096,0.003082,0.02255,8.5e-05,2.01e-07
baseline_00058,5.5,Medium,100,80,120,8,10,100,50,500,700,None,0,Sand,0.1,Dry,12,High,Medium,69.88855748401194,96.98704694697327,97.52514950224035,49.50299582350966,0.003073,0.02219,8.363e-05,2.025e-07
baseline_00059,5.5,Medium,100,80,120,8,10,20,10,2000,3000,None,0,Sand,0.1,Dry,12,Low,High,38.72567860587557,94.20691046610179,92.18578377530206,19.559514671111398,0.00167,0.02114,7.754e-05,7.85e-08
baseline_00060,5.5,Medium,100,80,120,8,10,100,50,2000,3000,None,0,Sand,0.1,Dry,12,High,High,39.098638592449014,94.28634293698383,92.34923374653485,19.826490805271682,0.001673,0.021,7.707e-05,7.891e-08
baseline_00061,5.5,Medium,100,80,120,8,10,20,10,100,150,None,0,Sand,0.1,Mesic,8,Low,Low,86.56815688354635,97.6225067140296,99.1596492145684,79.55888797976488,0.003949,0.02317,8.821e-05,3.376e-07
baseline_00062,5.5,Medium,100,80,120,8,10,100,50,100,150,None,0,Sand,0.1,Mesic,8,High,Low,87.45911685147179,97.78137165579369,99.26861586205695,80.89376865056632,0.003887,0.02262,8.603e-05,3.345e-07
baseline_00063,5.5,Medium,100,80,120,8,10,20,10,500,700,None,0,Sand,0.1,Mesic,8,Low,Medium,68.85255752130793,96.74874953432713,97.36169953100755,48.25242340560096,0.003083,0.02255,8.502e-05,2.01e-07
baseline_00064,5.5,Medium,100,80,120,8,10,100,50,500,700,None,0,Sand,0.1,Mesic,8,High,Medium,69.88855748401194,96.90761447609123,97.52514950224035,49.50299582350966,0.003073,0.02219,8.364e-05,2.025e-07
baseline_00065,5.5,Medium,100,80,120,8,10,20,10,2000,3000,None,0,Sand,0.1,Mesic,8,Low,High,38.72567860587557,93.88918058257364,92.18578377530206,19.559514671111398,0.001673,0.02112,7.767e-05,7.864e-08
