scenario_id,ph,metal_level,pb_mg_L,cu_mg_L,zn_mg_L,cd_mg_L,doc_mg_L,ca_mg_L,mg_mg_L,na_mg_L,cl_mg_L,chelator,dose_mg_L,texture,hfo_sites,moisture,pe,ca_mg_level,ionic_level,pb_total_mol,pb_free_mol,pb_percent_free,pb_sorbed_mol,cu_total_mol,cu_free_mol,cu_percent_free,cu_sorbed_mol,zn_total_mol,zn_free_mol,zn_percent_free,zn_sorbed_mol,cd_total_mol,cd_free_mol,cd_percent_free,cd_sorbed_mol
50,5.5,Low,25,20,30,2,10,20,10,500,700,NTA,150,Sand,0.1,Wet,3,Low,Medium,0.00012066,5.262e-06,4.361014420686225,0.0003414,0.00031471,2.841e-07,0.0902735852054272,3.677e-05,0.00045886,9.469e-05,20.63592381118424,3.15e-05,1.7792e-05,6.723e-06,37.78664568345324,2.752e-07
51,5.5,Low,25,20,30,2,10,20,10,500,700,NTA,300,Sand,0.1,Wet,3,Low,Medium,0.00012066,7.613e-09,0.0063094646113044,4.999e-07,0.00031471,3.963e-10,0.0001259254551809,5.193e-08,0.00045886,1.629e-07,0.0355010242775574,5.486e-08,1.7792e-05,4.763e-08,0.2677045863309352,1.974e-09
52,5.5,Low,25,20,30,2,10,20,10,500,700,Citrate,50,Sand,0.1,Wet,3,Low,Medium,0.00012066,2.536e-05,21.017735786507544,0.001461,0.00031471,8.536e-06,2.71233834323663,0.000981,0.00045886,0.0003464,75.49143529616877,0.0001023,1.7792e-05,8.343e-06,46.891861510791365,3.032e-07
53,5.5,Low,25,20,30,2,10,20,10,500,700,Citrate,150,Sand,0.1,Wet,3,Low,Medium,0.00012066,4.113e-06,3.408751864743909,0.0002621,0.00031471,3.545e-06,1.1264338597438912,0.0004508,0.00045886,0.0001303,28.396460794142005,4.258e-05,1.7792e-05,7.779e-06,43.72189748201439,3.128e-07
54,5.5,Low,25,20,30,2,10,20,10,500,700,Citrate,300,Sand,0.1,Wet,3,Low,Medium,0.00012066,6.464e-07,0.5357202055362175,4.25e-05,0.00031471,7.468e-07,0.2372978297480219,9.797e-05,0.00045886,2.603e-05,5.672754216972497,8.776e-06,1.7792e-05,5.62e-06,31.587230215827343,2.331e-07
55,5.5,Low,25,20,30,2,10,20,10,500,700,Humic,50,Sand,0.1,Wet,3,Low,Medium,0.00012066,8.483e-05,70.30498922592409,0.004151,0.00031471,1.059e-05,3.3650027008992405,0.001034,0.00045886,0.000447,97.41533365296604,0.0001122,1.7792e-05,8.454e-06,47.51573741007195,2.611e-07
56,5.5,Low,25,20,30,2,10,20,10,500,700,Humic,150,Sand,0.1,Wet,3,Low,Medium,0.00012066,8.446e-05,69.99834244985911,0.004137,0.00031471,1.059e-05,3.3650027008992405,0.001035,0.00045886,0.0004469,97.39354051344635,0.0001123,1.7792e-05,8.455e-06,47.521357913669064,2.613e-07
57,5.5,Low,25,20,30,2,10,20,10,500,700,Humic,300,Sand,0.1,Wet,3,Low,Medium,0.00012066,8.392e-05,69.55080391181832,0.004115,0.00031471,1.059e-05,3.3650027008992405,0.001036,0.00045886,0.0004467,97.349954234407,0.0001123,1.7792e-05,8.455e-06,47.521357913669064,2.616e-07
58,5.5,Low,25,20,30,2,10,20,10,500,700,Fulvic,50,Sand,0.1,Wet,3,Low,Medium,0.00012066,8.483e-05,70.30498922592409,0.004151,0.00031471,1.059e-05,3.3650027008992405,0.001034,0.00045886,0.000447,97.41533365296604,0.0001122,1.7792e-05,8.454e-06,47.51573741007195,2.611e-07
59,5.5,Low,25,20,30,2,10,20,10,500,700,Fulvic,150,Sand,0.1,Wet,3,Low,Medium,0.00012066,8.446e-05,69.99834244985911,0.004137,0.00031471,1.059e-05,3.3650027008992405,0.001035,0.00045886,0.0004469,97.39354051344635,0.0001123,1.7792e-05,8.455e-06,47.521357913669064,2.613e-07
